City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
238,Ixtapa,MX,20.7,-105.2,93.07,25,100,8.61,overcast clouds
239,Kodiak,US,57.79,-152.4072,38.71,93,100,9.22,moderate rain
240,Prince Rupert,CA,54.3161,-130.3201,46.06,43,33,6.24,scattered clouds
241,Paamiut,GL,61.994,-49.6678,25.3,73,4,14.25,clear sky
242,Kroya,ID,-7.6331,109.2461,78.55,86,89,2.33,overcast clouds
243,Nishihara,JP,26.1842,127.7558,69.08,68,100,23.02,overcast clouds
244,Victoria,HK,22.2855,114.1577,72.32,80,96,18.99,overcast clouds
245,Madang,PG,-5.2246,145.7966,75.72,90,82,3.29,broken clouds
246,Benghazi,LY,32.1167,20.0667,73.62,32,22,35.03,few clouds
247,Palu,ID,-0.8917,119.8707,76.75,90,100,2.55,overcast clouds
248,Ormara,PK,25.2088,64.6357,79.66,85,27,10.02,scattered clouds
249,Mecca,SA,21.4267,39.8261,82.94,34,0,4.0,clear sky
250,Dudinka,RU,69.4058,86.1778,16.66,96,11,10.51,few clouds
251,Henties Bay,NA,-22.116,14.2845,59.97,82,0,9.15,clear sky
252,Arraial Do Cabo,BR,-22.9661,-42.0278,74.66,63,0,24.72,clear sky
253,Hami,CN,42.8,93.45,45.77,36,56,9.17,broken clouds
254,Ust-Donetskiy,RU,47.6419,40.8718,48.43,87,61,6.78,broken clouds
255,Awjilah,LY,29.1081,21.2869,81.01,16,88,31.74,overcast clouds
256,Geraldton,AU,-28.7667,114.6,61.21,100,0,0.0,clear sky
257,Havoysund,NO,70.9963,24.6622,37.63,95,100,28.32,light rain
258,Camana,PE,-16.6228,-72.7111,70.81,73,73,10.98,broken clouds
259,Pisco,PE,-13.7,-76.2167,71.65,68,0,21.85,clear sky
260,Margate,GB,51.3813,1.3862,53.11,87,17,1.99,few clouds
261,Changtu,CN,42.7788,124.0955,42.62,34,0,7.25,clear sky
262,Taoudenni,ML,22.6783,-3.9836,82.67,14,0,10.74,clear sky
263,Hofn,IS,64.2539,-15.2082,45.77,94,37,2.75,scattered clouds
264,Ca Mau,VN,9.1769,105.15,79.11,88,67,3.44,broken clouds
265,Guerrero Negro,MX,27.9769,-114.0611,66.65,55,100,16.62,overcast clouds
266,Mayo,US,38.8876,-76.5119,74.08,29,0,16.11,clear sky
267,Pangnirtung,CA,66.1451,-65.7125,6.26,88,14,2.1,few clouds
268,Port Lincoln,AU,-34.7333,135.8667,65.53,84,0,8.23,clear sky
269,Provideniya,RU,64.3833,-173.3,32.83,96,100,23.17,snow
270,Maniitsoq,GL,65.4167,-52.9,25.75,59,97,12.1,overcast clouds
271,Surovikino,RU,48.6078,42.8486,49.64,61,13,2.51,few clouds
272,Norman Wells,CA,65.282,-126.8329,11.16,74,100,5.88,overcast clouds
273,Rauma,FI,61.1272,21.5113,37.44,89,13,7.87,few clouds
274,Klaksvik,FO,62.2266,-6.589,49.12,98,100,12.8,overcast clouds
275,Hualmay,PE,-11.0964,-77.6139,71.6,72,20,13.58,few clouds
276,Obo,CF,5.3998,26.4869,71.2,85,100,3.04,overcast clouds
277,Marawi,PH,7.9986,124.2928,67.57,93,39,2.19,scattered clouds
278,Dubti,ET,11.7361,41.0853,91.09,32,79,13.82,broken clouds
279,Pemba,MZ,-12.974,40.5178,81.59,79,11,11.5,few clouds
280,Ilulissat,GL,69.2167,-51.1,14.02,57,75,8.05,broken clouds
281,Carnarvon,AU,-24.8667,113.6333,71.67,73,53,6.91,broken clouds
282,Beringovskiy,RU,63.05,179.3167,29.95,97,100,24.2,snow
283,Parrita,CR,9.5201,-84.3225,86.27,67,96,7.23,overcast clouds
284,Gizo,SB,-8.103,156.8419,81.63,76,100,6.04,overcast clouds
285,Ngunguru,NZ,-35.6167,174.5,58.1,82,98,4.76,overcast clouds
286,Launceston,AU,-41.45,147.1667,53.8,94,40,5.75,scattered clouds
287,Sept-Iles,CA,50.2001,-66.3821,37.06,95,100,9.22,light intensity drizzle
288,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,58,100,22.79,overcast clouds
289,Hithadhoo,MV,-0.6,73.0833,83.07,66,84,1.72,broken clouds
290,Labuhan,ID,-6.8844,112.2051,78.19,86,100,5.01,overcast clouds
291,Chimbote,PE,-9.0853,-78.5783,71.02,73,8,13.98,clear sky
292,Bambous Virieux,MU,-20.3428,57.7575,77.25,83,75,12.66,light rain
293,Uruzgan,AF,32.8333,66.0,64.87,14,3,2.89,clear sky
294,Boa Vista,BR,2.8197,-60.6733,82.38,69,75,3.44,broken clouds
295,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,76.8,89,100,0.49,overcast clouds
296,Minna,NG,9.6139,6.5569,88.83,48,100,2.82,light rain
297,Komsomolskiy,UZ,40.4272,71.7189,69.96,21,3,2.53,clear sky
298,Kutum,SD,14.2,24.6667,78.28,8,55,9.55,broken clouds
299,College,US,64.8569,-147.8028,35.08,42,40,13.8,scattered clouds
300,Manzhouli,CN,49.6,117.4333,34.5,67,69,8.28,broken clouds
301,Leningradskiy,RU,69.3833,178.4167,11.59,91,100,9.46,overcast clouds
302,Porto Velho,BR,-8.7619,-63.9039,86.05,70,40,4.61,scattered clouds
303,Bowen,AU,-20.0167,148.2333,68.43,83,0,9.19,clear sky
304,Mitsamiouli,KM,-11.3847,43.2844,82.56,79,81,8.03,broken clouds
305,Fergus Falls,US,46.283,-96.0776,25.86,71,75,23.02,broken clouds
306,Sezemice,CZ,50.0665,15.8527,48.45,77,75,11.99,broken clouds
307,Port Pirie,AU,-33.1833,138.0167,55.49,49,0,4.52,clear sky
308,Vitim,RU,59.4511,112.5578,6.01,99,75,1.1,broken clouds
309,Nikolskoye,RU,59.7035,30.7861,39.09,91,95,9.98,overcast clouds
310,Aripuana,BR,-9.1667,-60.6333,79.3,95,84,1.57,broken clouds
311,Nsanje,MW,-16.92,35.262,76.41,88,0,3.29,clear sky
312,Diego De Almagro,CL,-26.3667,-70.05,72.59,19,0,10.56,clear sky
313,Leeton,AU,-34.5667,146.4,59.61,65,22,4.18,few clouds
314,Clyde River,CA,70.4692,-68.5914,-5.94,90,18,9.33,few clouds
315,Mehamn,NO,71.0357,27.8492,35.47,98,100,27.94,light rain
316,San Andres,CO,12.5847,-81.7006,86.02,66,20,16.11,few clouds
317,Solnechnyy,RU,50.7214,136.6319,29.34,81,100,7.58,overcast clouds
318,Georgetown,MY,5.4112,100.3354,82.33,89,20,3.44,thunderstorm
319,Teguldet,RU,57.3064,88.1667,31.66,98,99,3.53,overcast clouds
320,Halifax,CA,44.6453,-63.5724,42.69,97,100,5.01,overcast clouds
321,Churapcha,RU,62.0025,132.4325,2.35,98,66,4.09,broken clouds
322,Jinxiang,CN,27.4327,120.6062,59.45,64,100,13.71,overcast clouds
323,Pochutla,MX,15.7432,-96.4661,93.81,43,88,9.35,overcast clouds
324,Matinha,BR,-3.1006,-45.0336,81.05,85,33,4.54,scattered clouds
325,Tezonapa,MX,18.6092,-96.6917,100.96,29,84,6.13,broken clouds
326,Lasa,IT,46.6166,10.7002,56.35,93,80,6.49,broken clouds
327,Sorland,NO,67.667,12.6934,39.81,67,100,16.78,overcast clouds
328,Cuauhtemoc,MX,28.4167,-106.8667,78.64,5,100,11.12,overcast clouds
329,Port Shepstone,ZA,-30.7414,30.455,63.91,84,100,21.14,light rain
330,Natal,BR,-5.795,-35.2094,84.85,74,20,14.97,few clouds
331,Nanma,CN,36.1817,118.1583,46.06,23,100,2.75,overcast clouds
332,Yeppoon,AU,-23.1333,150.7333,64.18,81,0,11.81,clear sky
333,Maine-Soroa,NE,13.2114,12.0241,89.85,27,100,9.98,overcast clouds
334,Isangel,VU,-19.55,169.2667,80.76,81,76,6.58,broken clouds
335,Tiarei,PF,-17.5333,-149.3333,86.02,73,3,18.1,light rain
336,Rafaela,AR,-31.2503,-61.4867,73.0,27,0,1.99,clear sky
337,Harper,LR,4.375,-7.7169,80.74,83,100,7.34,overcast clouds
338,San Jose,US,37.3394,-121.895,73.38,49,20,11.5,few clouds
339,Coquimbo,CL,-29.9533,-71.3436,60.22,72,7,6.8,clear sky
340,Esperance,AU,-33.8667,121.9,60.84,78,4,11.36,clear sky
341,Mae Hong Son,TH,19.3003,97.9685,76.17,66,6,1.28,clear sky
342,Broken Hill,AU,-31.95,141.4333,64.11,42,1,6.2,clear sky
343,Filadelfia,US,39.9523,-75.1638,71.51,21,20,13.8,few clouds
344,Aykhal,RU,66.0,111.5,-7.15,100,100,4.32,overcast clouds
345,Newport,GB,51.5877,-2.9984,59.05,81,1,4.52,clear sky
