City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
491,Tautira,PF,80.8,light rain,-17.7333,-149.15,Pension Oaoa
492,Maxixe,MZ,77.27,light rain,-23.8597,35.3472,Oceano
496,Chilca,PE,68.9,broken clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
500,Itaituba,BR,80.51,overcast clouds,-4.2761,-55.9836,Hotel Campos
504,Loreto,MX,84.13,overcast clouds,22.2667,-101.9667,José de Jesús Velásquez mora
505,Dawlatabad,AF,72.3,broken clouds,36.4141,64.9053,WASIM ASGAR KHAN
507,Mocuba,MZ,73.62,clear sky,-16.8392,36.9856,Phama Lodge
510,Chake Chake,TZ,80.29,overcast clouds,-5.2459,39.7666,Hotel Archipelago
514,San Policarpo,PH,78.53,scattered clouds,12.1791,125.5072,Agapita M. Nicart
517,Vasai,IN,82.49,clear sky,19.47,72.8,Jivdani Kripa
519,Zvishavane,ZW,68.68,light rain,-20.3267,30.0665,Hotel Boutique Runde
520,Iracoubo,GF,80.19,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
522,Cururupu,BR,78.44,moderate rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
525,Rio Pardo De Minas,BR,77.63,overcast clouds,-15.6097,-42.5397,Hotel Oásis Cidade Alta
526,Carutapera,BR,78.67,moderate rain,-1.195,-46.02,Lidera
527,Oranjestad,AW,78.6,overcast clouds,12.524,-70.027,Divi Village Golf & Beach Resort
528,Sorong,ID,80.17,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
531,Bela,IN,84.72,scattered clouds,25.9333,81.9833,Raj Bhawan
532,Pecanha,BR,71.51,few clouds,-18.5486,-42.5569,PEÇANHA GRANDE HOTEL
533,Kandrian,PG,77.0,light rain,-6.2167,149.55,Kandrian Station
535,Karratha,AU,83.17,broken clouds,-20.7377,116.8463,ibis Styles Karratha
536,Demba,CD,69.6,light rain,-5.51,22.2667,Guest House Du Cinquantenaire
537,Kota Kinabalu,MY,75.18,few clouds,5.9749,116.0724,Gaya Centre Hotel
539,Kulim,MY,81.93,overcast clouds,5.365,100.5618,Tune Hotel - Kulim
543,Limbe,CM,80.4,overcast clouds,4.0242,9.2149,The LK Hotel at Bonadikombo
546,Humaita,BR,87.31,broken clouds,-7.5061,-63.0208,Corrêa Hotel
553,Vieux Fort,LC,81.75,broken clouds,13.7167,-60.95,Cedar Palm Villa
555,Una,IN,78.37,clear sky,20.8167,71.0333,Hotel Harbhole
556,Pacific Grove,US,67.41,clear sky,36.6177,-121.9166,Lovers Point Inn
557,Bahia Honda,CU,79.14,light rain,22.9036,-83.1592,Casa Gualberto - Deysi
558,Banting,MY,78.93,overcast clouds,2.8167,101.5,Hotel Intan Jugra
563,Leland,US,73.11,clear sky,34.2563,-78.0447,Leland Station
565,Kallupatti,IN,83.26,broken clouds,9.7167,77.8667,ELUMALI SK AUTO FINANCE
566,Alofi,NU,80.65,broken clouds,-19.0595,-169.9187,Taloa Heights
567,Banjar,ID,77.4,scattered clouds,-8.19,114.9675,The Hamsa Resort
569,Macau,MO,75.85,few clouds,22.2006,113.5461,Grand Emperor Hotel
571,Santa Rosa De Viterbo,BR,71.33,clear sky,-21.4728,-47.3631,Hotel Malim
573,Kirakira,SB,79.74,broken clouds,-10.4544,161.9205,SanBiz Lodge
577,Inirida,CO,80.78,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
581,Kilindoni,TZ,82.45,moderate rain,-7.9139,39.6668,Bustani B&B
582,Arlit,NE,88.34,few clouds,18.7369,7.3853,Case de Passage De la Prefecture
586,Turayf,SA,66.16,clear sky,31.6725,38.6637,Turaif
591,Axim,GH,80.51,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
594,Mackay,AU,67.68,clear sky,-21.15,149.2,International Lodge Motel
595,Andradina,BR,77.41,clear sky,-20.8961,-51.3794,DELTA HOTEL
596,Olinda,BR,83.93,clear sky,-8.0089,-34.8553,Flat Quatro Rodas Olinda
597,Katherine,AU,73.72,overcast clouds,-14.4667,132.2667,Pine Tree Motel
601,Matara,LK,79.16,clear sky,5.9485,80.5353,Amaloh Boutique Resort
604,Tukrah,LY,71.71,few clouds,32.5341,20.5791,Lagrota restaurant
605,Santiago,CL,70.99,haze,-33.4569,-70.6483,Hotel Panamericano
606,Iquique,CL,68.04,few clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
607,Impfondo,CG,72.09,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
608,Montepuez,MZ,68.65,clear sky,-13.1256,38.9997,PembaAparthotel
610,Cabiraoan,PH,74.73,overcast clouds,18.3238,122.086,Bry and Kat Resort
614,Tabas,IR,81.86,overcast clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
615,Galesong,ID,75.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
617,San Clemente,US,78.1,broken clouds,33.427,-117.612,Casablanca Inn
625,Manta,EC,82.18,scattered clouds,-0.95,-80.7333,Balandra Hotel
628,Hambantota,LK,80.96,few clouds,6.1241,81.1185,Bungalow 63
631,Xuddur,SO,80.89,overcast clouds,4.1213,43.8894,Banjanay Hotel
635,San Isidro,PE,73.51,fog,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
636,Ailigandi,PA,82.6,broken clouds,9.2333,-78.0167,Akwa Reef Lodge
637,Abu Kamal,SY,66.33,broken clouds,34.4506,40.9171,محطة التلفاز
638,Sinnamary,GF,80.69,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
639,Marion,US,68.34,overcast clouds,39.7684,-86.1555,Hilton Garden Inn Indianapolis Downtown
641,Najran,SA,76.73,clear sky,17.4924,44.1277,محمد هادي ال فطيح
644,Srivardhan,IN,79.2,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
646,Alugan,PH,78.17,scattered clouds,12.2188,125.4808,JM Lodge
647,Innisfail,AU,71.33,broken clouds,-17.5333,146.0333,Moondarra Motel
649,Samana,DO,86.22,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
650,Sur,OM,88.59,clear sky,22.5667,59.5289,Sur Plaza Hotel
651,Santa Maria,BR,65.79,scattered clouds,-29.6842,-53.8069,Hotel Morotin
652,Palasa,IN,81.07,overcast clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
